"title","pCategoryName","pCategoryID","sCategoryName","sCategoryID","itemId","price"
"Apple iPhone 13 Pro Max - 256gb - Factory Sealed - Factory Warranty - Unlocked!","Cell Phones & Smartphones","9355","","","165075692529","1299.0"
"Apple iPhone 12 Pro Max 128/256/512GB AT&T Sprint T-Mobile Unlocked Verizon Good","Cell Phones & Smartphones","9355","","","274923478522","685.99"
"Apple iPhone 12 Pro Max - 128GB - All Colors (Unlocked) - Very Good Condition","Cell Phones & Smartphones","9355","","","384354864724","790.49"
"Apple iPhone 11 Pro Max A2161 ATT T-Mobile Verizon Factory Unlocked - VERY GOOD","Cell Phones & Smartphones","9355","","","255107476973","619.0"
"Apple iPhone 11 Pro Max 64/256/512GB AT&T Sprint T-Mobile Unlocked Verizon Fair","Cell Phones & Smartphones","9355","","","284427510526","439.99"
"Apple iPhone 13 Pro Max - 128gb - Factory Sealed - Factory Warranty - Unlocked!","Cell Phones & Smartphones","9355","","","154613773340","1189.0"
"Apple iPhone 11 Pro Max A2161 ATT T-Mobile Verizon FACTORY UNLOCKED - OPEN BOX -","Cell Phones & Smartphones","9355","","","255100212984","639.0"
"Apple iPhone 11 Pro Max - 256GB - Midnight Green (Unlocked)","Cell Phones & Smartphones","9355","","","203949484997","360.0"
"Apple iPhone 11 Pro Max Verizon AT&T T-Mobile GSM Factory Unlocked  - Good","Cell Phones & Smartphones","9355","","","362869604933","504.95"
"Apple iPhone 12 Pro Max 5G A2342 128/256/512GB AT&T Verizon Unlocked Great","Cell Phones & Smartphones","9355","","","265291948536","769.99"
"Apple iPhone 12 Pro Max 128/256/512 AT&T Sprint T-Mobile Unlocked VZW Excellent","Cell Phones & Smartphones","9355","","","294362290970","755.99"
"Apple iPhone 11 Pro Max - 256GB - Factory Unlocked - Very Good Condition","Cell Phones & Smartphones","9355","","","144199739434","609.99"
"Apple iPhone 11 Pro Max - 64GB  Cricket Midnight Green","Cell Phones & Smartphones","9355","","","363838048136","1.23"
"Apple iPhone 11 Pro Max - 256GB Unlocked Midnight Green","Cell Phones & Smartphones","9355","","","384887615018","406.0"
"Apple iPhone 11 Pro Max - 256GB - All Colors (Unlocked) - Very Good Condition","Cell Phones & Smartphones","9355","","","194316827489","655.34"
"Apple iPhone 11 Pro Max - 256GB - A2161 Fully Unlocked - Pristine Condition","Cell Phones & Smartphones","9355","","","175222720469","679.99"
"Apple iPhone 11 Pro Max A2161 - 256GB - All Colors (Unlocked) - Good Condition","Cell Phones & Smartphones","9355","","","194316791225","735.99"
"Apple iPhone 11 Pro Max 64GB Unlocked Smartphone - Very Good","Cell Phones & Smartphones","9355","","","402561477570","532.95"
