"title","pCategoryName","pCategoryID","sCategoryName","sCategoryID","itemId","price"
"Samsung Galaxy A53 128GB 8GB RAM SM-A5360 (FACTORY UNLOCKED) 6.5" 64MP","Cell Phones & Smartphones","9355","","","224929849116","373.99"
"Samsung Galaxy A53 5G SM-A536E/DS 128GB 6GB RAM GSM Factory Unlocked Android New","Cell Phones & Smartphones","9355","","","144497318129","381.9"
"Samsung Galaxy A53 5G SM-A536U - 128GB - Awesome Black (Verizon ONLY)","Cell Phones & Smartphones","9355","","","265622444551","388.98"
"For Samsung Galaxy A03S A13 5G A52 5G A53 5GShockproof Rugged Phone Case Cover","Cases, Covers & Skins","20349","","","303558158185","7.95"
"For Samsung Galaxy A12 A32 A53 A13 5G Case Camera Lens Slide Protection Cover","Cases, Covers & Skins","20349","","","274801476653","7.99"
"Samsung Galaxy A53 5G SM-A536E/ DS 128 GB 6GB RAM, Factory Unlocked GSM","Cell Phones & Smartphones","9355","","","304398230054","381.89"
"Samsung Galaxy A53 A536E 5G 128GB 6GB RAM GSM Unlocked International Version NEW","Cell Phones & Smartphones","9355","","","325104846956","357.99"
"For Samsung Galaxy A52 A72 A53 5G Case Heavy Duty Shockproof Defender Hard Cover","Cases, Covers & Skins","20349","","","184756781913","8.99"
"For Samsung Galaxy A03S A13 A12 A30 A32 A52 A53 5G Clear Case/Screen Protector","Cases, Covers & Skins","20349","Screen Protectors","58540","333267650887","3.96"
"For Samsung Galaxy A53 5G Shockproof Hybrid Hard Case Cover / Screen Protector","Cases, Covers & Skins","20349","","","302572852661","6.95"
"For Samsung Galaxy A53 5G Case, Armor Kickstand Cover + Tempered Glass Protector","Cases, Covers & Skins","20349","","","275254693437","7.99"
"For Samsung Galaxy A32 A03S A13 A53 5G Armor Case Cover, Glass Screen Protector","Cases, Covers & Skins","20349","Screen Protectors","58540","234081799837","5.94"
"For Samsung Galaxy A53 5G, Full Body Hard Bumper Case +Built-In Screen Protector","Cases, Covers & Skins","20349","","","144483650275","10.98"
"For Samsung Galaxy A53 5G Case 16 ft Shockproof Cover + Tempered Glass Protector","Cases, Covers & Skins","20349","","","275272682673","7.99"
"Magnetic Ring Holder Case For Samsung Galaxy A32 A52 A53 A13 5G Shockproof Cover","Cases, Covers & Skins","20349","","","203544882325","6.99"
"For Samsung Galaxy A13 A32 A53 5G/A02s A03S A12 A21 Case Cover/Screen Protector","Cases, Covers & Skins","20349","Screen Protectors","58540","334207711120","3.95"
"For Samsung Galaxy A53 5G Case Waterproof Shockproof Underwater Full Body Cover","Cases, Covers & Skins","20349","","","275280650648","16.99"
"For Samsung Galaxy A53 5G Defender Case+Tempered Glass+Belt Clip Fits Otterbox","Cases, Covers & Skins","20349","","","125231481717","6.93"
"For Samsung Galaxy A10s A20s A12 A50 A51 A71 A53 5G Shockproof Slim Case+Glass","Cases, Covers & Skins","20349","","","153587234035","2.33"
"For Samsung Galaxy A53 5G Case Shockproof Cover+Holster Belt Clip Fits Otterbox","Cases, Covers & Skins","20349","","","284720190597","8.99"
"For Samsung Galaxy A13 / A53 5G Slim Hybrid Tempered Glass Hard Phone Case Cover","Cases, Covers & Skins","20349","","","194958955342","7.26"
"For Samsung Galaxy A03S,A32/A13/A53 5G Case Bling Cute TPU Cover/Glass Protector","Cases, Covers & Skins","20349","","","284075955073","3.99"
"For Samsung Galaxy A03S A02S A13 5G A53 5G Shockproof Rugged Phone Case Cover","Cases, Covers & Skins","20349","","","144504181030","5.92"
