"puid","title","pCategoryName","pCategoryID","sCategoryName","sCategoryID","itemId","price"
"3c48c3fe-d51d-11ec-9521-a820663f2461","Samsung Galaxy A53 5G SM-A536E 128GB 6GB RAM GSM Factory Unlocked Android New","Cell Phones & Smartphones","9355","","","125204710951","374.95"
"3c49d974-d51d-11ec-bce0-a820663f2461","For Samsung Galaxy A03S A13 5G A52 5G A53 5GShockproof Rugged Phone Case Cover","Cases, Covers & Skins","20349","","","303558158185","7.95"
"3c49dae6-d51d-11ec-89f8-a820663f2461","Samsung Galaxy A53 5G SM-A536E/DS 128GB 6GB RAM GSM Factory Unlocked Android New","Cell Phones & Smartphones","9355","","","144497318129","381.9"
"3c49db7a-d51d-11ec-8949-a820663f2461","Samsung Galaxy A53 5G SM-A536U - 128GB - Awesome Black (Verizon ONLY)","Cell Phones & Smartphones","9355","","","265622444551","388.98"
"3c49dc08-d51d-11ec-809a-a820663f2461","For Samsung Galaxy A12 A32 A53 A13 5G Case Camera Lens Slide Protection Cover","Cases, Covers & Skins","20349","","","274801476653","7.99"
"3c49dc94-d51d-11ec-ae63-a820663f2461","Samsung Galaxy A53 256GB 8GB RAM SM-A5360 (FACTORY UNLOCKED) 6.5 64MP","Cell Phones & Smartphones","9355","","","194967780539","427.99"
"3c49dd18-d51d-11ec-8888-a820663f2461","Samsung Galaxy A53 A536E 5G 128GB 6GB RAM GSM Unlocked International Version NEW","Cell Phones & Smartphones","9355","","","325104846956","354.99"
"3c49dd98-d51d-11ec-a4a9-a820663f2461","For Samsung Galaxy A32 A12 A53 5G A03s A13 5G 4G Clear Case Cover/Tempered Glass","Cases, Covers & Skins","20349","Screen Protectors","58540","284540898113","3.95"
"3c49de38-d51d-11ec-a55d-a820663f2461","Samsung Galaxy A53 5G SM-A536E/ DS 128 GB 6GB RAM, Factory Unlocked GSM","Cell Phones & Smartphones","9355","","","304398230054","381.89"
"3c49deba-d51d-11ec-a901-a820663f2461","For Samsung Galaxy A52 A72 A53 5G Case Heavy Duty Shockproof Defender Hard Cover","Cases, Covers & Skins","20349","","","184756781913","8.99"
"3c49df34-d51d-11ec-84ae-a820663f2461","Samsung Galaxy A53 5G (128GB, 4GB) 6.5 T-Mobile, Sprint 5G / 4G VoLTE A536U","Cell Phones & Smartphones","9355","","","144536644617","319.99"
"3c49dfa8-d51d-11ec-b68d-a820663f2461","For Samsung Galaxy A53 5G Shockproof Hybrid Hard Case Cover / Screen Protector","Cases, Covers & Skins","20349","","","302572852661","6.95"
"3c49e022-d51d-11ec-8620-a820663f2461","For Samsung Galaxy A53 5G Case Waterproof Shockproof Underwater Full Body Cover","Cases, Covers & Skins","20349","","","275280650648","16.99"
"3c49e09a-d51d-11ec-8e0d-a820663f2461","For Samsung Galaxy A53 5G Case, Shockproof Stand Cover +Tempered Glass Protector","Cases, Covers & Skins","20349","","","275225854295","7.99"
"3c49e13a-d51d-11ec-9ba7-a820663f2461","For Samsung Galaxy A32 A03S A13 A53 5G Armor Case Cover, Glass Screen Protector","Cases, Covers & Skins","20349","Screen Protectors","58540","234081799837","5.94"
"3c49e1ba-d51d-11ec-b803-a820663f2461","For Samsung Galaxy A03S A13 A12 A30 A32 A52 A53 5G Clear Case/Screen Protector","Cases, Covers & Skins","20349","Screen Protectors","58540","333267650887","9.96"
"3c49e252-d51d-11ec-a132-a820663f2461","For Samsung Galaxy A53 5G Case, Armor Kickstand Cover + Tempered Glass Protector","Cases, Covers & Skins","20349","","","275254693437","7.99"
"3c49e2d4-d51d-11ec-8c91-a820663f2461","For Samsung Galaxy A53 5G Case 16 ft Shockproof Cover + Tempered Glass Protector","Cases, Covers & Skins","20349","","","275272682673","7.99"
"3c49e34c-d51d-11ec-9b7c-a820663f2461","Samsung Galaxy A53 5G (SM-A536E/DS) Dual SIM,128 GB 6GB RAM GSM Factory Unlocked","Cell Phones & Smartphones","9355","","","294922851464","379.99"
"3c49e3c6-d51d-11ec-a814-a820663f2461","Magnetic Ring Holder Case For Samsung Galaxy A32 A52 A53 A13 5G Shockproof Cover","Cases, Covers & Skins","20349","","","203544882325","6.99"
"3c49e434-d51d-11ec-8e2c-a820663f2461","For Samsung Galaxy A10s A20s A12 A50 A51 A71 A53 5G Shockproof Slim Case+Glass","Cases, Covers & Skins","20349","","","153587234035","2.33"
"3c49e4a8-d51d-11ec-90a4-a820663f2461","For Samsung Galaxy A53 5G, Full Body Hard Bumper Case +Built-In Screen Protector","Cases, Covers & Skins","20349","","","144483650275","10.98"
"3c49e522-d51d-11ec-b07a-a820663f2461","For Samsung Galaxy A13 A32 A53 5G/A02s A03S A12 A21 Case Cover/Screen Protector","Cases, Covers & Skins","20349","Screen Protectors","58540","334207711120","3.95"
"3c49e59a-d51d-11ec-ab1a-a820663f2461","Samsung Galaxy A53 128GB 8GB RAM SM-A5360 (GSM UNLOCKED) DUAL SIM","Cell Phones & Smartphones","9355","","","255463968184","372.99"
"3c49e630-d51d-11ec-9796-a820663f2461","For Samsung Galaxy A03S,A32/A13/A53 5G Case Bling Cute TPU Cover/Glass Protector","Cases, Covers & Skins","20349","","","284075955073","3.99"
"3c49e6b4-d51d-11ec-877d-a820663f2461","For Samsung Galaxy A13 5G A53 5G Shockproof Phone Case Cover/Screen Protector","Cases, Covers & Skins","20349","","","302430492594","7.95"
"3c49e748-d51d-11ec-9b16-a820663f2461","For Samsung Galaxy A13 / A53 5G Slim Hybrid Tempered Glass Hard Phone Case Cover","Cases, Covers & Skins","20349","","","194958955342","7.26"
"3c49e806-d51d-11ec-a314-a820663f2461","For Samsung Galaxy A53 5G Defender Case+Tempered Glass+Belt Clip Fits Otterbox","Cases, Covers & Skins","20349","","","125231481717","6.93"
"3c49e87e-d51d-11ec-a4a8-a820663f2461","Samsung Galaxy A53 5G SM-A536U - 128GB - Awesome Black (Verizon)","Cell Phones & Smartphones","9355","","","154990316237","329.99"
"3c49e914-d51d-11ec-a933-a820663f2461","For Samsung Galaxy A03S A02S A13 5G A53 5G Shockproof Rugged Phone Case Cover","Cases, Covers & Skins","20349","","","144504181030","5.92"
