"puid","title","pCategoryName","pCategoryID","sCategoryName","sCategoryID","itemId","price"
"3de90f5c-d51d-11ec-aeda-a820663f2461","Samsung Galaxy S22Ultra 5G SM-R908N 256/512GB/1TB Unlocked Snapdragon ⭐Tracking⭐","Cell Phones & Smartphones","9355","","","353932565748","957.15"
"3dea3d34-d51d-11ec-841b-a820663f2461","Waterproof Case For Samsung Galaxy S22, S22+, S22 Ultra 5G Plus Screen Protector","Cases, Covers & Skins","20349","","","185341128189","16.98"
"3dea3ee8-d51d-11ec-82bf-a820663f2461","Heavy Duty Shockproof Case For Samsung Galaxy S22 S22+ S22 Ultra Rugged Cover","Cases, Covers & Skins","20349","","","154842416215","8.98"
"3dea3fa8-d51d-11ec-869a-a820663f2461","For Samsung Galaxy S22/S22 Plus/S22 Ultra Case+Belt Clip Fits Otterbox Defender","Cases, Covers & Skins","20349","","","393908860252","6.95"
"3dea403e-d51d-11ec-9d5f-a820663f2461","METAL ALUMINIUM SHOCK CASE COVER FOR SAMSUNG GALAXY S22 S21 Ultra S10 8 S20 Plus","Cases, Covers & Skins","20349","","","203744989205","15.96"
"3dea40ca-d51d-11ec-bc35-a820663f2461","For Samsung Galaxy S22 Ultra / S22 Plus / S22 Case Clear Shockproof Rugged Cover","Cases, Covers & Skins","20349","","","154840044955","6.92"
"3dea4158-d51d-11ec-b35f-a820663f2461","Shockproof Clear Case For Samsung Galaxy S22 | S22+ S22 Ultra Slim Hybrid Cover","Cases, Covers & Skins","20349","","","154837970861","7.88"
"3dea41d8-d51d-11ec-b24b-a820663f2461","For Samsung Galaxy S22 22 21 21+ Ultra Shockproof Case Cover + Screen Protector","Cases, Covers & Skins","20349","","","124553836348","9.99"
"3dea4264-d51d-11ec-811e-a820663f2461","For Samsung Galaxy S22 Ultra Plus Case Shockproof Camera Slide Ring Stand Cover","Cases, Covers & Skins","20349","","","284570335926","7.95"
"3dea42e6-d51d-11ec-8a84-a820663f2461","Shockproof Case For Samsung Galaxy S22 S22+ S22 Ultra Rugged Cover + Belt Clip","Cases, Covers & Skins","20349","","","154892727069","9.99"
"3dea4368-d51d-11ec-91b6-a820663f2461","For Samsung Galaxy S22 / Plus / Ultra Case, Ringstand + Tempered Glass Protector","Cases, Covers & Skins","20349","","","224928213507","7.99"
"3dea43e8-d51d-11ec-8263-a820663f2461","For Samsung Galaxy S22 / Plus / Ultra Case Wallet Pouch+Tempered Glass Protector","Cases, Covers & Skins","20349","","","224842361987","7.99"
"3dea4462-d51d-11ec-afe1-a820663f2461","Samsung Galaxy S22 Ultra 5G SM-S908N 256/512GB/1TB Factory Unlocked Snapdragon","Cell Phones & Smartphones","9355","","","224831055708","950.66"
"3dea44f8-d51d-11ec-ad6d-a820663f2461","For Samsung Galaxy S22 Ultra/S22+/S22 Bling Glitter Case Shockproof Slim Cover","Cases, Covers & Skins","20349","","","203831829361","7.99"
"3dea457a-d51d-11ec-b66d-a820663f2461","For Samsung Galaxy S22 S22 Plus S22 Ultra Case Shockproof Heavy Duty Armor Cover","Cases, Covers & Skins","20349","","","185289594071","6.96"
"3dea45fa-d51d-11ec-b9b5-a820663f2461","For Samsung Galaxy S22 Ultra Case Waterproof S22 / S22+ Plus Screen Protector","Cases, Covers & Skins","20349","","","334392290019","15.99"
"3dea46b0-d51d-11ec-b71d-a820663f2461","Magnetic Case For Samsung Galaxy S22 Ultra S21 A12 A32 A52 5G Glass Full Cover","Cases, Covers & Skins","20349","","","384809967827","12.99"
"3dea4734-d51d-11ec-8f70-a820663f2461","Galaxy S22 / S22 Plus / S22 Ultra Case | Spigen [Liquid Air] Shockproof Cover","Cases, Covers & Skins","20349","","","203827289698","15.99"
"3dea47b4-d51d-11ec-b4da-a820663f2461","For Samsung Galaxy S22 | S22 Ultra | S22+ Case Shockproof Hybrid Thin Slim Cover","Cases, Covers & Skins","20349","Cell Phones & Smartphones","9355","363737462069","10.91"
"3dea4874-d51d-11ec-af31-a820663f2461","For Samsung Galaxy S22 / S22+ Plus S22 Ultra 5G Case Waterproof Shockproof Cover","Cases, Covers & Skins","20349","","","185347315626","16.98"
"3dea48fe-d51d-11ec-8ce1-a820663f2461","For Samsung Galaxy S22 S21+ Ultra Case Shockproof Wallet Ring Stand Camera Cover","Cases, Covers & Skins","20349","","","224873108334","8.99"
"3dea4976-d51d-11ec-ad7f-a820663f2461","For Samsung Galaxy S22 Ultra S22 Plus Case Waterproof Shockproof Full Body Cover","Cases, Covers & Skins","20349","","","125167795712","16.99"
